,race,age,engnat,gender,hand,source,country,O,C,E,A,N
0,3,53,1,1,1,1,US,3.1,3.1,3.2,3.2,1.9
1,13,46,1,2,1,1,US,2.6,2.8,2.8,3.1,2.9
2,1,14,2,2,1,1,PK,4.1,3.3,2.9,3.8,4.6
3,3,19,2,2,1,1,RO,3.7,3.4,3.6,3.7,4.3
4,11,25,2,2,1,2,US,2.2,2.6,2.6,4.0,3.2
5,13,31,1,2,1,2,US,3.5,3.7,2.8,3.4,3.2
6,5,20,1,2,1,5,US,2.9,3.0,3.2,3.7,2.5
7,4,23,2,1,1,2,IN,3.0,3.0,3.5,3.1,1.9
8,5,39,1,2,3,4,US,3.7,3.5,3.1,3.3,3.7
9,3,18,1,2,1,5,US,3.3,3.2,2.9,2.7,3.3
10,3,17,2,2,1,1,IT,3.8,3.2,2.9,2.9,3.6
11,13,15,2,1,1,1,IN,3.4,3.4,3.2,3.7,2.8
12,13,22,1,2,1,2,US,3.1,3.3,3.0,3.2,2.9
13,3,21,1,2,1,5,US,3.1,3.3,2.5,2.7,3.8
14,3,28,2,2,1,2,US,3.2,3.2,3.2,3.0,3.1
15,3,21,1,1,1,5,US,3.5,3.0,2.6,2.9,2.3
16,13,19,1,2,1,2,FR,3.5,3.2,2.8,2.5,2.3
17,3,21,1,2,1,5,US,3.1,2.8,3.2,3.4,3.2
18,3,26,1,2,3,5,GB,2.9,3.2,2.8,2.6,2.6
19,3,26,1,2,1,1,US,3.2,2.3,2.6,2.9,2.9
20,13,19,2,2,1,1,LT,3.5,3.0,3.1,3.4,4.0
21,11,29,2,2,1,1,US,3.3,3.1,2.8,2.6,1.8
22,3,29,1,2,1,2,US,3.5,3.2,2.7,3.1,3.2
23,3,21,1,1,2,2,CA,3.2,3.3,3.3,3.1,2.8
24,3,52,1,2,1,1,US,3.8,3.5,3.5,3.1,2.8
25,3,19,2,2,1,1,GR,3.5,2.7,2.7,3.3,2.9
26,3,48,1,1,1,2,US,3.2,3.6,3.4,3.7,3.4
27,3,22,1,1,1,4,US,2.9,3.0,3.0,2.6,2.8
28,1,17,1,2,1,1,US,3.3,2.8,3.2,3.3,3.9
29,3,37,2,1,1,3,DK,3.2,2.7,2.9,3.2,2.3
30,1,19,1,2,1,1,US,3.2,2.3,2.9,3.8,3.6
31,3,22,1,2,1,1,US,3.5,3.1,3.2,3.4,3.0
32,3,25,1,1,2,4,US,3.0,3.4,3.0,3.2,2.6
33,3,20,1,2,1,1,US,3.4,2.2,3.2,3.5,3.5
34,3,15,1,2,2,1,GB,2.7,3.3,3.0,3.5,3.1
35,3,46,1,2,2,3,US,3.6,3.1,2.3,3.1,3.7
36,3,15,1,1,1,1,GB,3.8,3.4,3.1,3.5,2.5
37,3,18,1,2,2,2,US,3.4,2.8,2.4,3.0,2.9
38,3,42,1,1,1,3,US,3.5,3.2,3.1,2.7,2.6
39,3,27,1,2,1,1,US,3.3,3.3,2.5,2.9,3.1
40,1,17,1,1,1,1,US,3.8,2.6,2.6,3.4,1.8
